# CSV-File created with merge-csv.com
# -----------------------------------------------------------

DesignName,ParticipantID,TrialID,Block1,OC,VV,Time,errorCount
Preattentive,7,244,7,Low,Colour_and_Size,91100,0
Preattentive,7,245,8,High,Colour,27710,0
Preattentive,7,246,8,High,Colour,31070,0
Preattentive,7,247,8,High,Colour,40500,0
Preattentive,7,248,8,High,Colour,31060,0
Preattentive,7,249,9,Medium,Size,37680,0
Preattentive,7,250,9,Medium,Size,34810,0
Preattentive,7,251,9,Medium,Size,37460,0
Preattentive,7,252,9,Medium,Size,34740,0
Preattentive,8,253,1,Medium,Size,1040,0
Preattentive,8,254,1,Medium,Size,1490,0
Preattentive,8,255,1,Medium,Size,1630,0
Preattentive,8,256,1,Medium,Size,2010,0
Preattentive,8,257,2,High,Colour,2210,0
Preattentive,8,258,2,High,Colour,2450,0
Preattentive,8,259,2,High,Colour,2550,0
Preattentive,8,260,2,High,Colour,2850,0
Preattentive,8,261,3,Low,Colour,3560,0
Preattentive,8,262,3,Low,Colour,3460,0
Preattentive,8,263,3,Low,Colour,3620,0
Preattentive,8,264,3,Low,Colour,3830,0
Preattentive,8,265,4,High,Colour_and_Size,24510,2
Preattentive,8,266,4,High,Colour_and_Size,13200,0
Preattentive,8,267,4,High,Colour_and_Size,17100,0
Preattentive,8,268,4,High,Colour_and_Size,14120,0
Preattentive,8,269,5,Low,Size,8860,0
Preattentive,8,270,5,Low,Size,7500,0
Preattentive,8,271,5,Low,Size,8970,0
Preattentive,8,272,5,Low,Size,6150,0
Preattentive,8,273,6,Low,Colour_and_Size,20550,0
Preattentive,8,274,6,Low,Colour_and_Size,15720,0
Preattentive,8,275,6,Low,Colour_and_Size,15360,0
Preattentive,8,276,6,Low,Colour_and_Size,14360,0
Preattentive,8,277,7,Medium,Colour,11270,0
Preattentive,8,278,7,Medium,Colour,11310,0
Preattentive,8,279,7,Medium,Colour,12460,1
Preattentive,8,280,7,Medium,Colour,13850,0
Preattentive,8,281,8,High,Size,16020,0
Preattentive,8,282,8,High,Size,13270,0
Preattentive,8,283,8,High,Size,9760,0
Preattentive,8,284,8,High,Size,11980,0
Preattentive,8,285,9,Medium,Colour_and_Size,9470,0
Preattentive,8,286,9,Medium,Colour_and_Size,39330,1
Preattentive,8,287,9,Medium,Colour_and_Size,106400,1
Preattentive,8,288,9,Medium,Colour_and_Size,44280,0
Preattentive,9,289,1,Medium,Colour_and_Size,1170,0
Preattentive,9,290,1,Medium,Colour_and_Size,5560,0
Preattentive,9,291,1,Medium,Colour_and_Size,9280,0
Preattentive,9,292,1,Medium,Colour_and_Size,6180,0
Preattentive,9,293,2,High,Size,3120,0
Preattentive,9,294,2,High,Size,3720,0
Preattentive,9,295,2,High,Size,3940,0
Preattentive,9,296,2,High,Size,9300,0
Preattentive,9,297,3,Low,Size,4320,0
Preattentive,9,298,3,Low,Size,4030,0
Preattentive,9,299,3,Low,Size,3680,0
Preattentive,9,300,3,Low,Size,2800,0
Preattentive,9,301,4,Low,Colour,4590,0
Preattentive,9,302,4,Low,Colour,4180,0
Preattentive,9,303,4,Low,Colour,5180,0
Preattentive,9,304,4,Low,Colour,3950,0
Preattentive,9,305,5,Low,Colour_and_Size,2950,0
Preattentive,9,306,5,Low,Colour_and_Size,32320,0
Preattentive,9,307,5,Low,Colour_and_Size,36460,0
Preattentive,9,308,5,Low,Colour_and_Size,32910,1
Preattentive,9,309,6,Medium,Colour,13240,0
Preattentive,9,310,6,Medium,Colour,11150,0
Preattentive,9,311,6,Medium,Colour,9440,0
Preattentive,9,312,6,Medium,Colour,9250,0
Preattentive,9,313,7,Medium,Size,6570,0
Preattentive,9,314,7,Medium,Size,13490,0
Preattentive,9,315,7,Medium,Size,15670,0
Preattentive,9,316,7,Medium,Size,9750,0
Preattentive,9,317,8,High,Colour_and_Size,9390,0
Preattentive,9,318,8,High,Colour_and_Size,93610,0
Preattentive,9,319,8,High,Colour_and_Size,88520,0
Preattentive,9,320,8,High,Colour_and_Size,60130,0
Preattentive,9,321,9,High,Colour,18180,0
Preattentive,9,322,9,High,Colour,15780,0
Preattentive,9,323,9,High,Colour,14620,0
Preattentive,9,324,9,High,Colour,14420,0
